time,rr
1714325863717945163,-49
1714325864279069455,72
1714325864840183577,54
1714325865401297695,162
1714325865962427074,108
1714325866523556457,58
1714325867084655318,2
1714325867645784697,77
1714325868206898819,-56
1714325868768033285,18
1714325869329142316,87
1714325869890271695,-28
1714325870451401078,49
1714325871012530457,65
1714325871573659836,39
1714325872134789215,16
1714325872695918594,54
1714325873257047977,-18
1714325873818151925,16
1714325874379286391,39
1714325874940420857,-18
1714325875501534975,-72
1714325876062664354,14
1714325876623793733,16
1714325877184953634,-65
1714325877746083013,4
1714325878307212392,-14
1714325878868341771,96
1714325879429466067,9
1714325879990570011,51
1714325880551699394,4
1714325881112828773,21
1714325881673958152,75
1714325882235077361,7
1714325882796186392,195
1714325883357285253,-44
1714325883918414636,7
1714325884479513497,35
1714325885040642876,-42
1714325885601741737,16
1714325886162871116,4
1714325886723969977,-30
1714325887285099360,181
1714325887846228739,77
1714325888407327600,16
1714325888968456979,206
1714325889529555840,23
1714325890090685219,42
1714325890651789171,150
1714325891212913463,4
1714325891774027585,44
1714325892335141703,68
1714325892896271082,7
1714325893457369943,-56
1714325894018499326,63
1714325894579598187,-28
1714325895140727566,-18
1714325895701826427,96
1714325896262955806,11
1714325896824085189,89
1714325897385184050,14
1714325897946313429,37
1714325898507442808,188
1714325899068541669,28
1714325899629671048,68
1714325900190800427,136
1714325900751899292,37
1714325901313028671,44
1714325901874158050,239
1714325902435256911,65
1714325902996386290,16
1714325903557515673,115
1714325904118614534,51
1714325904679743913,30
1714325905240873292,-23
1714325905801992501,68
1714325906363101532,42
1714325906924230915,58
1714325907485329776,105
1714325908046459155,14
1714325908607573277,14
1714325909168687395,11
1714325909729816774,44
1714325910290946157,-30
1714325910852045018,-32
1714325911413174397,61
1714325911974303776,4
1714325912535422985,25
1714325913096532016,70
1714325913657661395,-21
1714325914218765347,35
1714325914779889639,7
1714325915341003761,56
1714325915902117879,56
1714325916463247258,72
1714325917024376641,61
1714325917585475502,11
1714325918146604881,-44
1714325918707703742,51
1714325919268833121,42
1714325919829931982,119
1714325920391061365,21
1714325920952160226,65
1714325921513289605,30
1714325922074388466,176
1714325922635517845,91
1714325923196616706,4
1714325923757746085,49
1714325924318844950,-82
1714325924879974329,430
1714325925441073190,72
1714325926002202569,122
1714325926563326865,42
1714325927124430809,98
1714325927685534761,72
1714325928246659053,28
1714325928807788432,-11
1714325929368887293,70
